Airline Name,Rating,Text,Recommended
Aegean Airlines,1/10,  This flight was cancelled by Aegean and I am still waiting for my refund.  Where is my money?,no
Aegean Airlines,2/10,"  Very disappointing, hand baggage is only one piece of 7 kg and no personal item. Aegean Airlines charged me 50 eur for an excess 2kg of hand baggage, totally unacceptable",no
Aegean Airlines,9/10,"  Trouble - free and polite check in at Terminal 2. Boarded efficiently. On time departure. Polite and professional crew, greeted at door. Box meal during flight but understandable given Covid precautions. Crew ensured face coverings were worn. Landed early and swift collection of luggage. A very professional and comfortable flight. Well done Aegean.",yes
Aegean Airlines,1/10,"  Heraklion to Thessaloniki with Aegean Airlines. Awful experience, very rude crew and they charge extra for luggage while you only can have one luggage of 8 kilos without informing you about changes before the check in.",no
Aegean Airlines,1/10,"  I was traveling to Bucharest, after checking in and going through the control area, I arrived at the gate that my flight was going to take place.  30 minutes before the flight, they announced that the boarding will start soon. Firstly, it was smooth no problems with anyone even though some people had more than 1 luggage, duty free bags. Towards the end of boarding and approximately 20 people were standing at the queue, a female came to check the last people's tickets to see what ticket they purchased. I have purchased the economy class ticket along with most of my fellows. That lady checked my ticket, and said only one bag is allowed in the plane looking at my other hand while I was holding an extra duty free bag with 2 bottle of spirit that I purchased. And she literally pointed that I had to shove into my bag 2 alcoholic spirits which it was really hard since my bag was smaller than the required size.  I did manage to storeboth in my bag which I was really glad about it. When I reached the ticket check, the same lady stopped me and said ""OK did u manage to fit everything in your luggage'' I replied ""yes thank you"" and she goes ""ok let's check the weight"". It's this moment that you realize the obvious. Yes the luggage was more than 8kg but what you expect after she is the one that told me fit everything in your bag so you can board the aircraft. So I was really angry at that moment and that is why I started yelling. What was the outcome?! I did manage to fit the 2 alcoholic spirits in my bag I had only one bag That bag was more that 8 kg obviously since I had to fit everything She initially said nothing can be done and after a while she changed her mind and charged that bag with an extra 50 euros. ",no
Aegean Airlines,7/10," 6-month old Airbus A320 Neo. Aegean has opted for a very nice internal configuration on this brand new aircraft type but, strangely, without IFE & overhead screens for live flight tracking / map. Smiling and helpful crew. Poor mean served (a small sandwich, a small chocolate bar and a bottle of water). Full drinks service. At the moment, the Aegean lounge at Athens airport has a much better offering than the Lufthansa lounge. Would fly again.",yes
Aegean Airlines,10/10,"  I required assistance on flights from Edinburgh via Athens to Santorini, and on my return , I would like to thank all of your staff at every stage of my journey, they were excellent on every level and made my journey so easy and were pleasant and made me feel comfortable, thank you all so much",yes
Aegean Airlines,7/10," Check-in in Dublin was handled by Swissport, the staff were friendly and efficient. The Swissport staff apologised that the lounge was not available (not sure if this was Covid-19 related or because the flight departs at 23.59), in any case Aegean should really make this clear at the time of booking. Fast Track security was also closed but it didn't matter as there was hardly anyone at security. Boarding was well managed. The cabin was modern and comfortable and USB ports were available at the seat. The Cabin Crew were charming and efficient. The on board service consisted of a bag containing a sandwich, a muffin, juice and water. There was also a bar service with alcoholic and soft drinks. I had pre-ordered a gluten free meal but all special meals have been suspended due to Covid-19. While I understand the need to simplify the service I think it should still be possible to provide special meals in a pre-packaged format like the standard meals. My only other observation is that the cabin crew could have been more strict enforcing face covering requirements where passengers were wearing these below the nose/mouth. Although I had booked a flexible business class fare there was still a substantial fare difference to change my return flight date.",yes
Aegean Airlines,1/10,"  I cannot speak for the flight itself but for the boarding experience at Malpensa Airport. Boarding staff were verbally aggressive towards me. I hadn't the PLF form to fly to Greece but managed to submit it while waiting fellow passengers boarding, the flight was due to arrive at 9 pm and I would receive the PLF at 0 am the next day so I could easily waited that time at Athens airport to present it to authorities, still the boarding gate lady, which spoke fluent Portuguese and was Portuguese, refused me boarding.",no
Aegean Airlines,1/10,"  The A320neo has 31 rows of seats which means the legroom is very tight. During e-check in they allocate you seat which you cannot change unless you pay at least €5. Inflight service was poor with a bag which contained a sandwich, a snack and a bottle of water. They do not serve alcohol due to covid-19. Announcements were on English and Greek. ",no
