Airline Name,Rating,Text,Recommended
Aegean Airlines,1/10,"[('flight', 'NN'), ('cancelled', 'VBD'), ('aegean', 'JJ'), ('still', 'RB'), ('waiting', 'VBG'), ('refund', 'NN'), ('money', 'NN')]",no
Aegean Airlines,2/10,"[('disappointing', 'JJ'), ('hand', 'NN'), ('baggage', 'NN'), ('one', 'CD'), ('piece', 'NN'), ('7', 'CD'), ('kg', 'JJ'), ('personal', 'JJ'), ('item', 'NN'), ('aegean', 'JJ'), ('airlines', 'NNS'), ('charged', 'VBD'), ('50', 'CD'), ('eur', 'NN'), ('excess', 'JJ'), ('2kg', 'CD'), ('hand', 'NN'), ('baggage', 'NN'), ('totally', 'RB'), ('unacceptable', 'JJ')]",no
Aegean Airlines,9/10,"[('trouble', 'NN'), ('free', 'JJ'), ('polite', 'JJ'), ('check', 'NN'), ('terminal', 'JJ'), ('2', 'CD'), ('boarded', 'VBN'), ('efficiently', 'RB'), ('time', 'NN'), ('departure', 'NN'), ('polite', 'JJ'), ('professional', 'JJ'), ('crew', 'NN'), ('greeted', 'VBD'), ('door', 'NN'), ('box', 'NN'), ('meal', 'NN'), ('flight', 'NN'), ('understandable', 'JJ'), ('given', 'VBN'), ('covid', 'JJ'), ('precautions', 'NNS'), ('crew', 'VBD'), ('ensured', 'JJ'), ('face', 'NN'), ('coverings', 'NNS'), ('worn', 'VBP'), ('landed', 'VBD'), ('early', 'JJ'), ('swift', 'NN'), ('collection', 'NN'), ('luggage', 'NN'), ('professional', 'JJ'), ('comfortable', 'JJ'), ('flight', 'NN'), ('well', 'RB'), ('done', 'VBN'), ('aegean', 'NN')]",yes
Aegean Airlines,1/10,"[('heraklion', 'NN'), ('thessaloniki', 'JJ'), ('aegean', 'JJ'), ('airlines', 'NNS'), ('awful', 'JJ'), ('experience', 'NN'), ('rude', 'NN'), ('crew', 'VBD'), ('charge', 'NN'), ('extra', 'JJ'), ('luggage', 'NN'), ('one', 'CD'), ('luggage', 'NN'), ('8', 'CD'), ('kilos', 'NN'), ('without', 'IN'), ('informing', 'VBG'), ('changes', 'NNS'), ('check', 'VB')]",no
Aegean Airlines,1/10,"[('traveling', 'VBG'), ('bucharest', 'JJS'), ('checking', 'VBG'), ('going', 'VBG'), ('control', 'JJ'), ('area', 'NN'), ('arrived', 'VBD'), ('gate', 'JJ'), ('flight', 'NN'), ('going', 'VBG'), ('take', 'VB'), ('place', 'NN'), ('30', 'CD'), ('minutes', 'NNS'), ('flight', 'NN'), ('announced', 'VBD'), ('boarding', 'JJ'), ('start', 'RB'), ('soon', 'RB'), ('firstly', 'RB'), ('smooth', 'JJ'), ('problems', 'NNS'), ('anyone', 'NN'), ('even', 'RB'), ('though', 'IN'), ('people', 'NNS'), ('1', 'CD'), ('luggage', 'NN'), ('duty', 'NN'), ('free', 'JJ'), ('bags', 'NNS'), ('towards', 'NNS'), ('end', 'VBP'), ('boarding', 'VBG'), ('approximately', 'RB'), ('20', 'CD'), ('people', 'NNS'), ('standing', 'VBG'), ('queue', 'JJ'), ('female', 'NN'), ('came', 'VBD'), ('check', 'NN'), ('last', 'JJ'), ('peoples', 'JJ'), ('tickets', 'NNS'), ('see', 'VBP'), ('ticket', 'NN'), ('purchased', 'VBD'), ('purchased', 'JJ'), ('economy', 'NN'), ('class', 'NN'), ('ticket', 'NN'), ('along', 'IN'), ('fellows', 'NNS'), ('lady', 'VBP'), ('checked', 'VBN'), ('ticket', 'NN'), ('said', 'VBD'), ('one', 'CD'), ('bag', 'NN'), ('allowed', 'VBD'), ('plane', 'NN'), ('looking', 'VBG'), ('hand', 'NN'), ('holding', 'VBG'), ('extra', 'JJ'), ('duty', 'NN'), ('free', 'JJ'), ('bag', 'NN'), ('2', 'CD'), ('bottle', 'NN'), ('spirit', 'NN'), ('purchased', 'VBD'), ('literally', 'RB'), ('pointed', 'VBN'), ('shove', 'NN'), ('bag', 'NN'), ('2', 'CD'), ('alcoholic', 'JJ'), ('spirits', 'NNS'), ('really', 'RB'), ('hard', 'JJ'), ('since', 'IN'), ('bag', 'NN'), ('smaller', 'JJR'), ('required', 'JJ'), ('size', 'NN'), ('manage', 'NN'), ('storeboth', 'VBD'), ('bag', 'NNS'), ('really', 'RB'), ('glad', 'JJ'), ('reached', 'VBD'), ('ticket', 'NN'), ('check', 'NN'), ('lady', 'NN'), ('stopped', 'VBD'), ('said', 'VBD'), ('ok', 'JJ'), ('u', 'JJ'), ('manage', 'NN'), ('fit', 'NN'), ('everything', 'NN'), ('luggage', 'NN'), ('replied', 'VBD'), ('yes', 'UH'), ('thank', 'NN'), ('goes', 'VBZ'), ('ok', 'JJ'), ('lets', 'NNS'), ('check', 'VB'), ('weight', 'JJ'), ('moment', 'NN'), ('realize', 'VBP'), ('obvious', 'JJ'), ('yes', 'NNS'), ('luggage', 'VBP'), ('8kg', 'CD'), ('expect', 'VBP'), ('one', 'CD'), ('told', 'JJ'), ('fit', 'NN'), ('everything', 'NN'), ('bag', 'NN'), ('board', 'NN'), ('aircraft', 'NN'), ('really', 'RB'), ('angry', 'JJ'), ('moment', 'NN'), ('started', 'VBD'), ('yelling', 'VBG'), ('outcome', 'NN'), ('manage', 'NN'), ('fit', 'JJ'), ('2', 'CD'), ('alcoholic', 'JJ'), ('spirits', 'NNS'), ('bag', 'VBP'), ('one', 'CD'), ('bag', 'NN'), ('bag', 'NN'), ('8', 'CD'), ('kg', 'NN'), ('obviously', 'RB'), ('since', 'IN'), ('fit', 'NN'), ('everything', 'NN'), ('initially', 'RB'), ('said', 'VBD'), ('nothing', 'NN'), ('done', 'VBN'), ('changed', 'VBD'), ('mind', 'NN'), ('charged', 'VBN'), ('bag', 'NN'), ('extra', 'JJ'), ('50', 'CD'), ('euros', 'NNS')]",no
Aegean Airlines,7/10,"[('6month', 'CD'), ('old', 'JJ'), ('airbus', 'NN'), ('a320', 'NN'), ('neo', 'JJ'), ('aegean', 'NN'), ('opted', 'VBD'), ('nice', 'JJ'), ('internal', 'JJ'), ('configuration', 'NN'), ('brand', 'NN'), ('new', 'JJ'), ('aircraft', 'NN'), ('type', 'NN'), ('strangely', 'RB'), ('without', 'IN'), ('ife', 'JJ'), ('overhead', 'JJ'), ('screens', 'NNS'), ('live', 'VBP'), ('flight', 'NN'), ('tracking', 'VBG'), ('map', 'NN'), ('smiling', 'VBG'), ('helpful', 'JJ'), ('crew', 'NN'), ('poor', 'JJ'), ('mean', 'NN'), ('served', 'VBD'), ('small', 'JJ'), ('sandwich', 'JJ'), ('small', 'JJ'), ('chocolate', 'NN'), ('bar', 'NN'), ('bottle', 'NN'), ('water', 'NN'), ('full', 'JJ'), ('drinks', 'NNS'), ('service', 'NN'), ('moment', 'NN'), ('aegean', 'JJ'), ('lounge', 'NN'), ('athens', 'VBZ'), ('airport', 'RB'), ('much', 'JJ'), ('better', 'RBR'), ('offering', 'VBG'), ('lufthansa', 'JJ'), ('lounge', 'NN'), ('would', 'MD'), ('fly', 'VB')]",yes
Aegean Airlines,10/10,"[('required', 'VBN'), ('assistance', 'NN'), ('flights', 'NNS'), ('edinburgh', 'VBP'), ('via', 'IN'), ('athens', 'NNS'), ('santorini', 'JJ'), ('return', 'NN'), ('would', 'MD'), ('like', 'VB'), ('thank', 'JJ'), ('staff', 'NN'), ('every', 'DT'), ('stage', 'NN'), ('journey', 'NN'), ('excellent', 'JJ'), ('every', 'DT'), ('level', 'NN'), ('made', 'VBD'), ('journey', 'NN'), ('easy', 'JJ'), ('pleasant', 'NN'), ('made', 'VBD'), ('feel', 'RBR'), ('comfortable', 'JJ'), ('thank', 'NN'), ('much', 'JJ')]",yes
Aegean Airlines,7/10,"[('checkin', 'NN'), ('dublin', 'NN'), ('handled', 'VBD'), ('swissport', 'JJ'), ('staff', 'NN'), ('friendly', 'JJ'), ('efficient', 'JJ'), ('swissport', 'NN'), ('staff', 'NN'), ('apologised', 'VBD'), ('lounge', 'NN'), ('available', 'JJ'), ('sure', 'JJ'), ('covid19', 'NN'), ('related', 'JJ'), ('flight', 'NN'), ('departs', 'NNS'), ('2359', 'CD'), ('case', 'NN'), ('aegean', 'JJ'), ('really', 'RB'), ('make', 'VB'), ('clear', 'JJ'), ('time', 'NN'), ('booking', 'VBG'), ('fast', 'JJ'), ('track', 'NN'), ('security', 'NN'), ('also', 'RB'), ('closed', 'VBD'), ('didnt', 'JJ'), ('matter', 'NN'), ('hardly', 'RB'), ('anyone', 'NN'), ('security', 'NN'), ('boarding', 'VBG'), ('well', 'RB'), ('managed', 'VBN'), ('cabin', 'NN'), ('modern', 'RBR'), ('comfortable', 'JJ'), ('usb', 'JJ'), ('ports', 'NNS'), ('available', 'JJ'), ('seat', 'NN'), ('cabin', 'NN'), ('crew', 'VBD'), ('charming', 'VBG'), ('efficient', 'JJ'), ('board', 'NN'), ('service', 'NN'), ('consisted', 'VBD'), ('bag', 'JJ'), ('containing', 'VBG'), ('sandwich', 'JJ'), ('muffin', 'NN'), ('juice', 'NN'), ('water', 'NN'), ('also', 'RB'), ('bar', 'NN'), ('service', 'NN'), ('alcoholic', 'JJ'), ('soft', 'JJ'), ('drinks', 'NNS'), ('preordered', 'VBD'), ('gluten', 'JJ'), ('free', 'JJ'), ('meal', 'NN'), ('special', 'JJ'), ('meals', 'NNS'), ('suspended', 'VBD'), ('due', 'JJ'), ('covid19', 'NN'), ('understand', 'VBP'), ('need', 'NN'), ('simplify', 'VBP'), ('service', 'NN'), ('think', 'VBP'), ('still', 'RB'), ('possible', 'JJ'), ('provide', 'VBP'), ('special', 'JJ'), ('meals', 'NNS'), ('prepackaged', 'VBD'), ('format', 'NNS'), ('like', 'IN'), ('standard', 'JJ'), ('meals', 'NNS'), ('observation', 'VBP'), ('cabin', 'NN'), ('crew', 'NN'), ('could', 'MD'), ('strict', 'VB'), ('enforcing', 'VBG'), ('face', 'NN'), ('covering', 'VBG'), ('requirements', 'NNS'), ('passengers', 'NNS'), ('wearing', 'VBG'), ('nosemouth', 'RB'), ('although', 'IN'), ('booked', 'VBN'), ('flexible', 'JJ'), ('business', 'NN'), ('class', 'NN'), ('fare', 'NN'), ('still', 'RB'), ('substantial', 'JJ'), ('fare', 'NN'), ('difference', 'NN'), ('change', 'NN'), ('return', 'NN'), ('flight', 'NN'), ('date', 'NN')]",yes
Aegean Airlines,1/10,"[('speak', 'JJ'), ('flight', 'NN'), ('boarding', 'VBG'), ('experience', 'NN'), ('malpensa', 'NN'), ('airport', 'NN'), ('boarding', 'VBG'), ('staff', 'NN'), ('verbally', 'RB'), ('aggressive', 'JJ'), ('towards', 'NNS'), ('hadnt', 'VBP'), ('plf', 'JJ'), ('form', 'NN'), ('fly', 'NN'), ('greece', 'RB'), ('managed', 'VBD'), ('submit', 'NN'), ('waiting', 'VBG'), ('fellow', 'JJ'), ('passengers', 'NNS'), ('boarding', 'VBG'), ('flight', 'NN'), ('due', 'JJ'), ('arrive', 'JJ'), ('9', 'CD'), ('pm', 'NN'), ('would', 'MD'), ('receive', 'VB'), ('plf', 'NN'), ('0', 'CD'), ('next', 'JJ'), ('day', 'NN'), ('could', 'MD'), ('easily', 'RB'), ('waited', 'VBD'), ('time', 'NN'), ('athens', 'NNS'), ('airport', 'VBP'), ('present', 'JJ'), ('authorities', 'NNS'), ('still', 'RB'), ('boarding', 'VBG'), ('gate', 'JJ'), ('lady', 'NN'), ('spoke', 'VBD'), ('fluent', 'JJ'), ('portuguese', 'JJ'), ('portuguese', 'NNS'), ('refused', 'VBD'), ('boarding', 'VBG')]",no
Aegean Airlines,1/10,"[('a320neo', 'RB'), ('31', 'CD'), ('rows', 'NNS'), ('seats', 'NNS'), ('means', 'VBZ'), ('legroom', 'JJ'), ('tight', 'JJ'), ('echeck', 'NN'), ('allocate', 'JJ'), ('seat', 'NN'), ('change', 'NN'), ('unless', 'IN'), ('pay', 'NN'), ('least', 'JJS'), ('€5', 'JJ'), ('inflight', 'JJ'), ('service', 'NN'), ('poor', 'JJ'), ('bag', 'NN'), ('contained', 'VBD'), ('sandwich', 'JJ'), ('snack', 'NN'), ('bottle', 'NN'), ('water', 'NN'), ('serve', 'VBP'), ('alcohol', 'NN'), ('due', 'JJ'), ('covid19', 'NN'), ('announcements', 'NNS'), ('english', 'JJ'), ('greek', 'NN')]",no
